"","name1","addr1","phone1"
"1","도봉 (본점)"," 서울특별시 도봉구 도당로 87-1 ","02-3494-4114"
"2","도봉 (창동)"," 서울 도봉구 노해로63가길 36 ","02-900-5722"
"3","도봉 (신창)"," 서울 도봉구 덕릉로 233-4 ","02-992-8100"
"4","도봉 (쌍문)"," 서울 도봉구 노해로 140 ","02-992-4115"
"5","서울개인택시조합 (도봉)"," 서울 도봉구 해등로 125 ","02-955-0746"
"6","마포동부 (본점)"," 서울특별시 마포구 마포대로 236 ","02-362-3071"
"7","아현 (본점)"," 서울 마포구 신촌로 234 ","02-363-3156"
"8","아현 (서강)"," 서울 마포구 독막로 100 ","02-337-7151"
"9","마포중앙 (본점)"," 서울 마포구 마포대로 173-14 ","02-362-0244"
"10","공덕 (본점)"," 서울 마포구 만리재옛길 57 ","02-711-2711"
"11","공덕 (공덕새마을금고)"," 서울 마포구 효창원로 252 ","02-711-2714"
"12","신공덕동 (본점)"," 서울 마포구 마포대로8길 37 ","02-715-5959"
"13","신마포 (본점)"," 서울 마포구 도화길 50-7 ","02-713-2544"
"14","신마포 (염리)"," 서울 마포구 숭문길 58 ","02-711-9080"
"15","마포역 (본점)"," 서울특별시 마포구 삼개로1길 3 ","02-713-0324"
"16","마포역 (용강)"," 서울 마포구 큰우물로 53 ","02-719-3581"
"17","망원동 (본점)"," 서울 마포구 월드컵로25길 55 ","02-336-6502"
"18","성암 (본점)"," 서울특별시 마포구 월드컵북로44길 29 ","02-374-7447"
"19","성암 (상암동월드컵아파트)"," 서울 마포구 매봉산로 24 ","02-372-8523"
"20","성암 (성산)"," 서울 마포구 월드컵북로 175 ","02-372-7447"
"21","성암 (연남)"," 서울 마포구 동교로27길 45 ","02-334-7447"
"22","문화방송 (본점)"," 서울 마포구 성암로 267 ","02-789-4752"
"23","서울개인택시조합 (용마)"," 서울 마포구 희우정로 76 ","02-718-1313"
"24","은천 (본점)"," 서울 관악구 은천로 95 ","02-878-0689"
"25","보라매 (본점)"," 서울 관악구 당곡길 20 ","02-886-3412"
"26","보라매 (국사봉)"," 서울 관악구 은천로 28 ","02-885-8013"
"27","관악 (본점)"," 서울 관악구 청림길 7 ","02-878-6313"
"28","봉천 (본점)"," 서울특별시 관악구 은천로 107 ","02-889-1109"
"29","낙성대 (본점)"," 서울특별시 관악구 남부순환로248길 23 ","02-877-5080"
"30","낙성대 (봉천7동)"," 서울 관악구 남부순환로230길 28 ","02-889-4133"
"31","관악중앙 (본점)"," 서울특별시 관악구 청룡1길 2 ","02-877-1091"
"32","관악중앙 (봉천역)"," 서울 관악구 쑥고개로11길 38 ","02-886-0068"
"33","난곡 (본점)"," 서울특별시 관악구 난곡로 210 ","02-838-1381"
"34","난곡 (난곡)"," 서울 관악구 난곡로 171 ","02-838-1385"
"35","난곡 (조원)"," 서울 관악구 남부순환로143길 23 ","02-867-0858"
